Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food, BY TYPE: Tiles, Buildings, Districts, Population, Outg
63, CIVILIZATION_KUMASI, 1, 2, 9, 5, 5, 0, 0, 0, 7, 3, 316, 0, 3, 3, 5, 0, 4, 4, 7, 13, 0, 1, 0, 0
63, CIVILIZATION_GRANADA, 1, 5, 9, 5, 5, 0, 0, 0, 7, 6, 101, 13, 5, 4, 7, 1, 5, 13, 7, 13, 0, 5, 5, 0
63, CIVILIZATION_BRUSSELS, 1, 5, 8, 6, 3, 0, 0, 0, 7, 3, 127, 0, 5, 5, 13, 0, 4, 13, 7, 13, 0, 5, 8, 0
64, CIVILIZATION_ROME, 1, 6, 8, 7, 2, 0, 0, 0, 14, 8, 102, 47, 6, 7, 36, 4, 10, 17, 14, 13, 1, 5, 5, 0
64, CIVILIZATION_CHINA, 2, 8, 9, 5, 6, 0, 0, 1, 21, 4, 145, 37, 14, 4, 17, 2, 21, 26, 21, 11, 2, 7, 0, 0
64, CIVILIZATION_JAPAN, 3, 12, 10, 6, 7, 0, 0, 0, 31, 7, 289, 219, 13, 8, 20, 8, 32, 37, 31, 14, 2, 11, 0, 3
64, CIVILIZATION_AMERICA, 2, 6, 9, 6, 3, 0, 0, 0, 23, 8, 247, 38, 9, 9, 10, 3, 20, 19, 23, 16, 1, 5, 0, 0
64, CIVILIZATION_SPAIN, 2, 5, 8, 4, 6, 0, 0, 1, 20, 3, 125, 119, 6, 2, 15, 4, 18, 14, 20, 12, 1, 4, 0, 0
64, CIVILIZATION_EGYPT, 3, 8, 7, 8, 8, 0, 0, 1, 29, 3, 116, 368, 8, 7, 14, 10, 21, 23, 29, 14, 1, 7, 2, 0
64, CIVILIZATION_KONGO, 2, 5, 8, 6, 3, 0, 0, 0, 21, 2, 96, 61, 10, 7, 6, 2, 17, 15, 21, 14, 1, 4, 0, 0
64, CIVILIZATION_AZTEC, 2, 4, 8, 3, 3, 0, 0, 0, 19, 0, 69, 7, 5, 2, 11, 1, 13, 10, 19, 10, 1, 3, 0, 0
64, CIVILIZATION_JAKARTA, 1, 5, 7, 5, 10, 0, 0, 0, 8, 1, 226, 17, 7, 4, 7, 0, 5, 12, 8, 13, 0, 5, 5, 0
64, CIVILIZATION_HATTUSA, 1, 4, 7, 5, 6, 0, 0, 0, 7, 4, 349, 0, 7, 4, 5, 0, 6, 10, 7, 15, 1, 3, 0, 0
